# step Epot T p V 
0 -4685.3503 0.0 6516.2506 23823.124 
5000 -5224.6679 297.4792 -609.3005 22870.5097 
10000 -5208.0866 295.652 -131.2314 22824.7645 
15000 -5227.7584 297.7655 56.4365 22566.2683 
20000 -5229.6627 312.5865 129.9336 22668.0821 
25000 -5231.7389 302.0307 307.5531 22351.2603 
30000 -5141.9787 286.9986 -213.37 22924.838 
35000 -5200.8651 294.6935 -794.2831 22731.0153 
40000 -5161.9658 304.0917 -422.3879 22889.3958 
45000 -5194.4299 290.4289 -576.3588 22854.4932 
50000 -5233.2275 299.1235 -418.455 22962.6148 
55000 -5223.3221 291.2204 -127.7011 22631.9151 
60000 -5240.3319 301.9395 -326.4859 22813.6695 
65000 -5210.6642 306.8918 88.363 22498.4705 
70000 -5197.7162 303.1152 -397.6215 22795.2676 
75000 -5243.4202 307.7788 -381.8001 22877.1155 
80000 -5166.8002 290.4 -313.7427 22812.9843 
85000 -5203.5252 294.4478 -733.0045 22617.1646 
90000 -5121.663 297.9876 -890.7207 22938.7477 
95000 -5181.1974 297.7633 -457.1847 22695.8394 
100000 -5241.0554 296.6796 -654.0642 22578.1037 
105000 -5168.6921 301.1525 36.4164 22568.6798 
110000 -5181.5113 298.1188 610.5842 22569.5293 
115000 -5167.9567 307.0247 230.4701 22609.1648 
120000 -5222.9111 303.7898 -413.1879 22812.1959 
125000 -5223.1511 293.2357 -988.7224 22870.6963 
130000 -5234.0158 300.5785 213.792 22489.3023 
135000 -5252.2014 302.3591 -210.2967 22749.9176 
140000 -5237.1904 303.4226 -550.8345 22500.0883 
145000 -5243.716 302.4682 -370.4137 22500.3251 
150000 -5200.291 298.5636 -1228.8038 22806.107 
155000 -5203.0447 302.404 -427.8774 22848.3795 
160000 -5184.6694 326.7822 -115.2165 22922.3157 
165000 -5247.7291 290.3796 -252.1945 22510.3028 
170000 -5229.7677 303.212 -476.7301 22518.0403 
175000 -5216.06 296.3363 -520.0639 22687.0186 
180000 -5276.1814 297.2167 -114.8146 22503.1888 
185000 -5234.3065 289.3592 -1048.5313 22941.264 
190000 -5217.5387 307.6157 -418.2875 22865.1778 
195000 -5195.5589 306.081 -442.659 22523.9852 
200000 -5190.7114 300.8175 1.7323 22780.6644 
205000 -5231.3992 307.0526 -487.2423 22771.3414 
210000 -5229.5752 280.9274 -1385.1657 23227.7784 
215000 -5180.1962 304.7344 511.0509 22360.8639 
220000 -5215.2389 299.5068 -21.5145 22486.6773 
225000 -5202.2904 291.0826 -595.9954 22646.9732 
230000 -5217.687 293.8676 596.2652 22623.7738 
235000 -5202.8013 305.5826 -309.5185 22535.5698 
240000 -5200.1487 298.9058 594.3979 22757.8873 
245000 -5205.3743 295.2273 -271.0898 22570.5026 
250000 -5119.0369 300.6739 347.2448 22755.4581 
255000 -5176.4669 302.085 86.4793 22950.2428 
260000 -5192.1079 301.361 -239.0321 22769.4711 
265000 -5199.8027 303.2651 -132.533 22652.259 
270000 -5170.7057 294.6285 -63.3923 22765.45 
275000 -5186.4138 296.8153 -94.111 22803.7094 
280000 -5212.7957 295.2158 -643.9664 22792.1695 
285000 -5231.2076 305.2442 -607.2257 22571.6303 
290000 -5357.5732 297.873 -954.7744 22401.1977 
295000 -5224.2573 309.7178 253.9475 22583.2657 
300000 -5221.2207 304.563 -25.6445 22302.5857 
305000 -5288.1723 300.74 87.9992 22493.1759 
310000 -5170.187 306.0478 47.2387 22681.8459 
315000 -5276.8015 285.5398 404.3914 22498.5647 
320000 -5258.6459 293.3132 -268.2519 22739.9235 
325000 -5277.0894 293.2655 108.8144 22218.7117 
330000 -5217.6762 295.1414 -4.6342 22852.8954 
335000 -5151.1736 304.1936 -469.1251 22730.349 
340000 -5234.872 300.5777 -222.4483 22691.3463 
345000 -5191.4015 292.5676 354.2113 22505.0699 
350000 -5217.8736 290.1113 -366.2868 22510.7307 
355000 -5238.2238 293.282 -138.2635 22656.9575 
360000 -5192.932 291.8022 -252.4958 22836.4978 
365000 -5201.3618 313.1527 -782.1437 22825.8348 
370000 -5211.1044 300.931 -189.0038 22668.9546 
375000 -5215.3475 305.3913 -3.6597 22533.9692 
380000 -5230.1928 306.7689 -325.8521 22476.2455 
385000 -5203.664 299.4362 -259.8699 22559.9468 
390000 -5162.4987 307.3021 -66.6205 22733.4751 
395000 -5190.0571 319.463 -335.6325 22819.3073 
400000 -5190.9581 291.0598 109.8993 22672.5279 
405000 -5210.2958 293.2298 -257.4936 22793.8692 
410000 -5225.9371 307.9627 -275.8577 22945.3421 
415000 -5156.0344 307.5537 -485.5353 22770.0789 
420000 -5250.6068 295.6744 27.9012 22678.2929 
425000 -5227.3852 303.9751 140.9098 22949.0348 
430000 -5222.4328 294.8566 -816.9003 22996.6082 
435000 -5133.7713 297.7989 -507.897 22730.4603 
440000 -5211.715 303.5888 -612.3121 22674.2411 
445000 -5280.7871 304.932 526.9977 22414.5665 
450000 -5213.1184 308.9738 379.6499 22663.471 
455000 -5162.2471 293.1627 1059.571 22803.2917 
460000 -5208.6683 299.3398 -179.8339 22478.5552 
465000 -5218.2244 297.4585 886.2727 22458.2551 
470000 -5203.4246 300.1419 572.4182 22713.2054 
475000 -5128.969 296.4487 -719.2747 22773.2547 
480000 -5119.8443 289.753 7.606 22791.7069 
485000 -5237.3323 306.8228 -332.0209 22560.6047 
490000 -5214.3443 287.4554 450.2191 22525.5038 
495000 -5214.7237 301.3819 -167.9627 22612.3352 
500000 -5205.4795 302.5628 164.9237 22738.5939 
