ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6264       775.2761         0.0000         0.0000         0.0000          -4685.3503         0.0000     -4685.3503     -4684.5922         0.0000           6516.2506      6528.3282     23823.1240      6516.2506      6528.3282
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5633.2535       408.5855         0.0000         0.0000       936.3786          -4288.2894       297.4792     -5224.6679     -4284.8646       275.9488           -609.3005      -584.8335     22870.5097      -124.7556      -124.7038
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5615.0299       406.9434         0.0000         0.0000       930.6268          -4277.4598       295.6520     -5208.0866     -4274.3766       297.3528           -131.2314      -126.8012     22824.7645      -227.9461      -227.9053
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5647.4899       419.7315         0.0000         0.0000       937.2795          -4290.4789       297.7655     -5227.7584     -4287.3743       297.9734             56.4365        67.1043     22566.2683      -151.7745      -151.9208
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5647.7464       418.0837         0.0000         0.0000       983.9318          -4245.7309       312.5865     -5229.6627     -4243.3326       301.7203            129.9336       137.7710     22668.0821      -161.5124      -161.5444
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5638.6819       406.9430         0.0000         0.0000       950.7053          -4281.0336       302.0307     -5231.7389     -4278.7260       298.2751            307.5531       313.3002     22351.2603      -150.7743      -150.6511
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5538.0467       396.0680         0.0000         0.0000       903.3884          -4238.5903       286.9986     -5141.9787     -4236.3183       303.0375           -213.3700      -202.0936     22924.8380      -201.7383      -201.7746
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5554.7593       353.8942         0.0000         0.0000       927.6098          -4273.2553       294.6935     -5200.8651     -4271.0153       295.6970           -794.2831      -772.2392     22731.0153      -265.4129      -265.2758
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5534.5472       372.5814         0.0000         0.0000       957.1926          -4204.7732       304.0917     -5161.9658     -4203.4567       298.7571           -422.3879      -411.0217     22889.3958      -314.1237      -314.0458
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5569.1581       374.7282         0.0000         0.0000       914.1860          -4280.2439       290.4289     -5194.4299     -4278.5091       299.5087           -576.3588      -547.9646     22854.4932      -234.1384      -234.0341
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5630.3890       397.1615         0.0000         0.0000       941.5540          -4291.6734       299.1235     -5233.2275     -4289.3879       294.1520           -418.4550      -398.6120     22962.6148      -237.9998      -237.8843
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5622.5120       399.1899         0.0000         0.0000       916.6774          -4306.6447       291.2204     -5223.3221     -4304.9389       299.9369           -127.7011      -103.3682     22631.9151      -191.9766      -192.0987
