# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 1
50 0 1
60 0 1
70 0 1
80 0 2
90 0 3
100 0 3
110 0 3
120 0 3
130 0 4
140 0 4
150 0 4
160 0 4
170 0 4
180 0 4
190 0 4
200 0 4
210 0 4
220 0 4
230 0 4
240 0 4
250 0 4
260 0 5
270 0 5
280 0 5
290 0 5
300 0 5
310 0 5
320 2 5
330 2 5
340 2 5
350 2 5
360 2 5
370 2 5
380 2 6
390 2 6
400 2 8
410 2 9
420 2 9
430 2 9
440 3 10
450 4 10
460 4 10
470 4 10
480 4 10
490 4 10
500 4 11
510 4 11
520 4 11
530 6 11
540 6 11
550 6 11
560 6 11
570 6 11
580 6 11
590 6 11
600 7 11
610 7 11
620 7 11
630 7 11
640 7 11
650 7 11
660 7 11
670 7 11
680 7 11
690 7 11
700 7 11
710 7 11
720 7 11
730 7 11
740 7 11
750 7 11
760 7 11
770 7 11
780 7 11
790 7 11
800 7 11
810 8 11
820 8 11
830 8 11
840 8 11
850 8 11
860 8 11
870 8 11
880 8 11
890 8 11
900 9 11
910 9 11
920 9 11
930 9 11
940 9 11
950 9 11
960 9 11
970 10 11
980 10 11
990 10 11
1000 10 11
