# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 0
80 0 0
90 0 1
100 0 1
110 0 3
120 0 3
130 0 4
140 0 6
150 0 11
160 0 13
170 0 15
180 0 19
190 0 22
200 0 22
210 0 25
220 0 26
230 0 29
240 0 31
250 0 32
260 0 32
270 0 39
280 0 40
290 0 42
300 0 45
310 0 48
320 0 51
330 0 52
340 0 54
350 0 59
360 0 65
370 0 66
380 0 69
390 0 72
400 0 75
410 0 79
420 0 82
430 0 83
440 0 87
450 0 89
460 0 90
470 0 92
480 0 92
490 0 95
500 0 96
510 0 98
520 0 101
530 0 103
540 0 105
550 0 105
560 0 105
570 0 106
580 0 106
590 0 108
600 0 111
